TEMPERATURE,DISSOLVED OXYGEN,PH,TURBIDITY,NITRATES,FECAL COLIFORM 
30.6,6.7,7.5,NAN,0.1,11
29.8,5.7,7.2,2,0.2,4953
29.5,6.3,6.9,1.7,0.1,3243
29.7,5.8,6.9,3.8,0.5,5382
29.5,5.8,7.3,1.9,0.4,3428
30,5.5,7.4,1.5,0.1,2853
29.2,6.1,6.7,1.4,0.3,3355
29.6,6.4,6.7,1,0.2,6073
30,6.4,7.6,2.2,0.1,3478
30.1,6.3,7.6,2.3,0.1,2606
27.8,7.1,7.1,1.2,0.1,4573
27.9,6.7,6.4,1.4,0.1,2147
29.3,7.4,6.8,1.7,0.4,11633
29.2,6.9,7,1.1,0.1,3500
30,6,7.5,1.6,0.2,4995
29,7.3,7,1.5,0.2,1095
29.1,7.3,7,1,0.1,1286
28.7,7,6.9,1.2,0.3,3896
28.7,7.3,6.7,1.5,0.1,1940
29.5,5.3,6.8,1.8,0.3,6458
29,6.3,6.4,1.6,1.4,7592
29.4,5.4,7.6,1.4,0.1,3176
28.3,2.2,6.5,4.7,1.2,11210
30.1,5.2,7.1,2.6,0.3,5073
30.3,5.6,7.5,1.8,0.1,3205
30.5,5.5,7.4,1.5,0.1,4698
29.1,7.3,6.7,1.4,0.1,2638
30.1,6.5,7.5,2,0.1,864
29.2,7.2,6.3,1.5,0.1,7942
25.1,6.6,7.8,4.9,0.2,16
29.6,6.9,7.9,5,0.4,15
27.4,6.8,7.7,5.2,0.3,11
27.8,6.7,7.8,4.9,0.3,12
30.6,5.1,7.3,10.3,1.8,31
25,5.6,7.9,3.6,1.9,66
25,6.4,7.6,5.7,0.6,23
25,5.5,7.4,7.7,1.1,44
25.3,5.3,7.7,9.9,1.2,156
25.1,6.7,7.6,4.8,0.2,28
26.1,3.6,7.4,31.3,2.2,276
21.4,7.2,7.7,3.1,0.8,NAN
27.4,5.9,7.4,6.4,0.4,37
27.1,5.4,7.5,7.4,1.5,59
27.2,5.8,7.3,5.4,0.6,37
27.3,5.9,7.4,5.1,1.2,34
27,6,7.3,8.5,0.4,32
27.2,6.1,7.3,6.1,0.5,30
27,5.9,7.4,6.4,0.4,19
22.6,6.3,7.8,4.6,0.9,15
28.4,6.7,7.3,3.5,1.8,NAN
28,6.8,7.2,3.1,1.4,NAN
27.6,6.8,7.3,3.3,1.6,NAN
27.9,6.9,7.3,3.3,1.6,NAN
28.1,6.9,7.3,3.4,1.7,NAN
27.1,6.8,7.9,4.9,0.8,15
27.6,6.6,8.1,4.6,0.3,16
27.3,6.7,8,5,0.3,14
27.8,6.7,7.8,4.9,0.3,14
28,5.9,7.7,5.5,0.6,22
28.1,6.3,7.6,4.6,0.6,13
28.6,6.6,7.6,4.7,0.7,12
26.9,6.8,7.7,5,0.4,15
23,7.1,7.4,2.7,0.9,NAN
23,7,7.4,2.7,0.9,NAN
23,7.2,7.2,2.7,1,NAN
25.1,6.7,7.5,1.4,1,183
